year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,US,UT,VA,VT,WA,WI,WV,WY
2000,0,0,0,0,35887,0,0,0,0,0,0,173,5037,0,0,0,0,0,0,0,0,0,0,7391,0,0,0,0,0,0,0,0,0,0,106,0,0,680,100,0,0,0,0,5020,57057,0,0,125,0,28,0,2509
2001,10,0,0,0,36163,503,0,0,0,0,0,22,5041,0,0,0,412,0,0,0,0,0,3,9269,0,0,0,0,0,27,0,0,0,0,212,0,0,915,115,0,0,9,0,12271,69617,0,0,125,0,747,0,3773
2002,0,0,0,0,38684,1414,0,0,0,0,0,16,9347,0,0,0,4748,0,0,0,0,0,3,9215,0,0,0,0,0,82,0,0,0,0,830,0,0,3827,588,0,0,61,41,27021,105334,0,0,106,4238,470,92,4551
2003,0,0,0,0,39441,1489,0,0,0,0,0,16,9942,0,182,0,3705,0,0,0,0,0,27,9900,0,0,0,0,596,387,0,0,1850,0,417,0,552,4492,1129,0,0,448,40,26020,113273,0,0,110,6112,988,1719,3711
2004,0,0,0,0,43128,2205,0,0,0,0,0,75,10516,0,782,0,3592,0,0,0,0,0,19,8137,0,0,0,0,2149,385,0,0,5143,0,1166,0,5737,6200,3068,0,0,1579,38,31427,141664,0,0,114,7378,1037,1614,6175
2005,6,0,0,0,42618,7762,0,0,0,0,0,66,16470,0,1411,0,4258,0,0,0,0,0,18,15823,0,0,0,0,2203,966,0,0,7946,0,1030,133,8477,7342,2842,0,0,1581,33,42368,178088,0,0,115,4984,925,1539,7172
2006,8,0,0,0,48433,8585,0,0,0,0,0,790,22990,1682,2525,0,9839,0,0,0,0,0,22,20383,0,0,4324,0,3665,2591,0,159,12453,0,6501,143,16986,9237,3582,0,0,1478,542,66165,263738,0,0,106,10292,1006,1723,7529
2007,10,0,0,0,55201,12765,0,0,0,0,0,2354,27247,1703,6567,0,11392,0,0,0,0,979,27,26082,0,0,4900,0,6136,2143,0,202,13771,0,8238,146,18277,12325,4646,0,0,1483,494,89019,340503,0,0,104,24095,1080,1656,7461
2008,1,0,0,0,53063,31738,0,0,0,0,0,2365,40242,2044,23029,2349,17337,0,0,36,0,1297,1391,42910,2003,0,5845,0,16687,2111,102,206,16188,0,12324,149,23237,25376,7188,0,0,1430,494,159881,545548,236,0,101,36041,4800,3862,9485
2009,69,0,0,288,56997,30879,0,0,0,0,0,2454,72424,3059,27519,13695,27945,0,0,58,0,2915,2930,49317,4874,0,8012,0,29256,3735,610,204,15096,0,22119,138,26334,33864,10490,0,0,4109,505,195455,721129,1557,0,113,34867,10267,7246,21728
2010,123,0,0,1316,59303,33676,0,0,25,0,0,2547,89466,4300,43450,28625,33220,0,0,215,15,4870,3515,46748,9029,0,9075,0,39957,4114,738,123,17875,0,25328,123,37152,38244,18088,30,0,13383,396,256109,923427,4368,0,136,46289,10619,9163,31676
2011,121,0,0,2483,75317,50526,0,0,47,0,0,3311,104050,12696,60367,31921,36143,0,0,596,2630,6866,4435,65347,11448,0,12292,0,50869,10210,642,102,20447,0,27478,1928,54461,46398,17435,28,0,25925,516,296805,1167636,5565,0,322,60845,11540,10712,44809
2012,356,0,0,5059,92821,56798,0,0,35,0,0,3599,133533,17991,73528,30547,49439,0,0,853,3061,8440,10769,77805,11845,0,12007,0,50192,12215,1986,110,21181,1226,28468,9378,77628,60365,20256,13,0,22399,452,306550,1340059,6698,0,1017,62803,14822,12238,41576
2013,1386,0,0,4291,122335,68731,0,0,43,0,0,4802,148538,23472,91834,33213,90002,0,0,1955,3069,9996,26711,78797,11133,0,16741,0,52656,17191,3713,104,20927,2390,33770,10933,106501,71135,31982,25,0,25643,446,342270,1601359,5150,0,2252,66829,14864,13229,42298
2014,1445,0,0,4452,123559,70076,0,0,48,0,0,5503,155077,26683,95888,33247,103135,0,0,2139,3078,10436,36786,92162,10757,0,18771,0,58985,26028,3914,217,21633,2854,37740,10969,113519,71852,33901,94,0,22218,486,380449,1727542,6276,0,2961,69117,15387,13803,41899
2015,1488,0,0,4213,113967,69662,0,0,48,0,0,5710,166555,21156,100154,42077,102495,0,0,2000,4050,12075,44702,91129,9627,0,18309,0,60627,29639,3947,201,19477,2886,37061,11211,130754,61799,31244,94,0,23274,427,417802,1777306,5833,0,3032,65936,14811,12825,35009
2016,1563,0,0,5000,124715,86977,118,0,49,0,0,5900,185305,23804,98445,45232,130272,0,0,1995,4866,15391,43351,91706,10357,0,19758,58,75443,35067,3991,192,33285,3175,36376,11497,185278,66075,32093,245,0,34290,348,531124,2095595,7591,0,2688,74242,13989,13222,40522
2017,1305,0,0,5251,118138,85816,117,0,46,0,0,4902,196907,23444,113023,46889,171344,0,0,2143,5172,21493,47827,102608,18724,0,19852,4337,104653,46840,3792,207,42330,3329,38105,14635,217416,57366,33080,1372,0,27255,399,617833,2342891,7907,0,2814,63801,15116,15499,39806
2018,1411,0,0,4827,127674,88720,112,0,47,0,0,5480,194225,24172,108328,49500,172134,0,0,2012,5189,21707,49683,97537,25807,0,19604,4941,97712,50519,3702,206,55457,2844,36401,15932,248887,67802,32473,1444,0,25810,373,689177,2482364,7234,0,3399,71922,14909,16114,36936
2019,1270,0,0,4937,122311,96640,109,0,47,0,0,4714,234246,22715,128763,55354,188105,0,0,1877,4633,22208,51878,97642,25450,0,21135,4659,99852,64215,3859,196,61374,2933,39680,18192,258317,58496,28946,1836,0,24839,338,744639,2634834,7290,0,3361,59461,16722,14525,37070
2020,1128,0,0,5651,119164,117437,107,0,45,0,0,5196,299881,24306,142350,55161,210234,0,0,2090,4787,21013,59087,103795,29347,0,26833,4792,119610,79969,4605,176,63378,2849,39669,20083,258075,77003,32883,1884,0,48639,344,810985,2964731,7041,0,3365,81287,15470,16649,48362
