,name,state_name,land_wind_,util_pv_te,longitude,latitude
445,Fisher,Texas,21920665.73,134748993.95,-100.40218030425089,32.742821404402186
446,Foard,Texas,16284268.49,101820531.95,-99.77798167599443,33.97459887384958
447,San Augustine,Texas,1997177.98,26869507.19,-94.16818429836512,31.39421014911936
448,Rusk,Texas,5578697.41,82941698.93,-94.76181562376273,32.10775048669942
449,Payette,Idaho,4136679.17,21009289.36,-116.7607603216013,44.00674972691852
450,Power,Idaho,16520169.83,81185694.45,-112.8406708102559,42.693687877059524
451,Oneida,Idaho,8686976.19,46061591.43,-112.53960396073018,42.19488904633358
452,Owyhee,Idaho,75786201.3,515495065.21,-116.16997367823032,42.58152677806021
453,Sublette,Wyoming,29862000.4,237673734.89,-109.91470547486023,42.76690775082456
454,Sweetwater,Wyoming,203212738.0,1028708652.71,-108.87942438564913,41.65950025319826
455,Coke,Texas,18359064.62,105862421.5,-100.52991267437218,31.888532164036977
456,Coleman,Texas,27915273.83,174026897.45,-99.45362509330182,31.773218883535463
457,Collin,Texas,9042677.6,82430490.05,-96.57243610580578,33.18792445042455
458,Collingsworth,Texas,20388965.69,114398169.7,-100.27004330957654,34.96486076978999
459,Yolo,California,9247296.54,101401343.29,-121.90165089797709,38.686732753430945
460,Brown,Nebraska,21995502.62,131235889.47,-99.92950140910425,42.4299909718738
461,Boyd,Nebraska,9776411.46,40664683.83,-98.7665183090445,42.89970651876542
462,Box Butte,Nebraska,23927256.91,146816305.04,-103.08570434081635,42.21977177850006
463,Boone,Nebraska,16394308.64,64399666.6,-98.06724511474195,41.70679137679813
464,Buffalo,Nebraska,18982098.26,109312925.84,-99.07497786484998,40.855173067905355
465,Bon Homme,South Dakota,10688857.71,67262912.05,-97.88468263491228,42.98840924274003
466,Aurora,South Dakota,15915597.46,93762248.41,-98.5615881450268,43.71804177899627
467,Bennett,South Dakota,22114978.45,109106324.59,-101.66391977675735,43.19493509336015
468,Sherman,Nebraska,13184839.57,50482178.46,-98.97627171788545,41.22056350995252
469,Sheridan,Nebraska,47257933.02,215404503.34,-102.40898934057246,42.50476538907017
470,Stanton,Nebraska,9565869.68,36915296.22,-97.1939134630444,41.91692330278862
471,Sioux,Nebraska,38763836.35,201339531.38,-103.75887764551939,42.48771623818916
472,Thayer,Nebraska,13170909.48,76817952.97,-97.59492892338464,40.17629003721419
473,Yankton,South Dakota,9468631.58,58154816.69,-97.3947474316447,43.008966506954664
474,Curry,New Mexico,34047621.5,237918943.35,-103.34692192068414,34.57419196287791
475,Bernalillo,New Mexico,9078914.2,88286181.46,-106.67016097246137,35.05152821181366
476,Catron,New Mexico,50140578.53,305880134.58,-108.4047225448612,33.91533466407001
477,Chaves,New Mexico,104209840.7,831318002.04,-104.4669999014281,33.363206837713314
478,Sebastian,Arkansas,3758782.27,27879236.11,-94.27403950059305,35.19938220964427
479,Todd,South Dakota,26785627.97,134727587.68,-100.71841255547614,43.19338503384105
480,Payne,Oklahoma,12688489.97,82331102.7,-96.97575535273239,36.07732568573381
481,Ottawa,Oklahoma,7983950.5,51799951.31,-94.81045910649084,36.83550886735016
482,Pawnee,Oklahoma,11322871.93,63585863.69,-96.69933100425604,36.31715075403767
483,Okmulgee,Oklahoma,11483038.58,79062251.34,-95.96428824036474,35.646681859427666
484,Osage,Oklahoma,39136135.33,200956283.35,-96.39826778556576,36.629316067663595
485,Duchesne,Utah,16407940.37,91212083.54,-110.42475586771889,40.297517418252
486,Davis,Utah,381454.86,8407737.44,-112.11125863358276,40.9906255510935
487,Labette,Kansas,12916459.68,88491014.06,-95.29758545848334,37.191318074787304
488,Emery,Utah,35569974.42,256594074.45,-110.70210783858104,38.99681748151774
