,name,state_name,dist_wind_,land_wind_,com_pv_tec,resid_pv_t,util_pv_te,longitude,latitude
1525,Floyd,Georgia,4245323.37,2720788.52,343122.69,174877.88,24677990.62,-85.21426023136615,34.263177354524856
1526,Fayette,Georgia,1652757.92,290124.57,245039.07,294344.49,12236158.29,-84.49440388151966,33.41401701312111
1527,Fannin,Georgia,3321347.67,1331642.86,32231.78,66861.8,86397.11,-84.3197297179926,34.86411059290311
1528,Colonial Heights,Virginia,116348.22,0.0,56619.61,33795.37,423.06,-77.39701504964441,37.26508733718376
1529,Franklin,Georgia,2378703.96,1895016.33,62161.48,41093.65,16148738.13,-83.22922554080421,34.375433133720406
1530,Schuyler,New York,7513198.7,3430948.18,63838.44,35643.04,6656662.75,-76.87517035488236,42.39378122536189
1531,Elkhart,Indiana,11207470.79,2731986.23,974761.62,471705.4,41693294.0,-85.85873351076162,41.59738694555483
1532,Dubois,Indiana,7394253.96,5222111.15,149334.16,119096.04,28900099.66,-86.8798086255539,38.36425519590399
1533,Delaware,Indiana,10428796.53,5768031.41,302985.08,237645.09,44268870.51,-85.39689187814967,40.22752571899369
1534,DeKalb,Indiana,8332109.39,4012345.87,240700.71,114180.16,38580940.17,-84.99908013201068,41.39758634989296
1535,Decatur,Indiana,7850150.27,6692667.33,134867.12,66674.59,42554561.01,-85.50122351105058,39.30696779583215
1536,Allen,Louisiana,5781617.56,3789765.3,73657.52,48278.84,65240183.39,-92.82788429048503,30.65291364317485
1537,Morgan,Indiana,6490489.53,4916938.14,90391.96,185305.01,33325096.39,-86.44621240124475,39.48152880014982
1538,Miami,Indiana,7740202.94,6821592.45,80566.09,86896.38,41244968.39,-86.04505648020213,40.76951592424331
1539,Kalamazoo,Michigan,9619565.28,3090552.16,531537.88,516533.3,41668219.17,-85.53116414845984,42.24544930122673
1540,Martin,Indiana,3280503.23,3074545.16,22602.49,23823.7,7645347.3,-86.80308225953958,38.7079744681574
1541,Jackson,Michigan,12759750.54,3678565.1,341180.7,345874.04,54023848.92,-84.42340769505941,42.248471405110564
1542,Montgomery,Indiana,10268541.36,9533400.67,113988.11,95523.96,60033421.43,-86.89330364711208,40.04037781138907
1543,Isabella,Michigan,11177450.79,4601156.81,135523.02,116716.85,55761732.97,-84.84670335660599,43.640577730145885
1544,Monroe,Indiana,5183792.42,2424950.19,171459.73,241165.01,13556749.6,-86.52315862763196,39.16095008570092
1545,Hickman,Kentucky,3597106.62,2098767.28,70755.72,11762.81,24736935.3,-88.97612362247332,36.678139505313574
1546,Hopkins,Kentucky,6215813.47,4580372.37,253963.63,103477.54,42186792.61,-87.5408934100975,37.30877602804528
1547,Henderson,Kentucky,4950739.43,4799198.64,470907.24,101553.33,46749924.53,-87.57294540357556,37.79610302542871
1548,Sevier,Tennessee,3194286.17,1046280.79,263381.19,171962.21,3348832.45,-83.52417517612174,35.7846881531824
1549,Henry,Kentucky,3082130.14,4150446.45,45010.16,31192.5,20019143.43,-85.11887391831664,38.4484296084042
1550,Shelby,Tennessee,10511569.86,1525046.64,2769159.11,1762908.76,40964114.62,-89.89514149605678,35.18382825187527
1551,Jackson,North Carolina,4513368.57,1213629.69,63583.53,75353.18,0.0,-83.14084432622406,35.287370043355196
1552,Seneca,New York,7416210.94,3026504.77,76553.16,65058.82,25362004.03,-76.82378726882017,42.78107381651887
1553,Hyde,North Carolina,3522823.31,1123365.15,10304.83,11121.24,28835694.31,-76.24858517014613,35.53179011412699
1554,Scott,Tennessee,3648015.69,1997617.68,26010.45,35297.55,4901368.21,-84.5034789060962,36.428533365616524
1555,Iredell,North Carolina,6098301.7,3854888.94,551865.56,354226.34,38324769.34,-80.87368004745576,35.80720441707429
1556,Hertford,North Carolina,3494943.74,1893553.84,79960.66,35027.47,32764757.88,-76.98312545585487,36.359334000286054
1557,Hoke,North Carolina,3078652.22,765292.73,23338.25,85581.72,20843393.52,-79.23709996578567,35.01739619340729
1558,Carter,Tennessee,2769851.51,402155.25,39075.52,111307.43,56622.41,-82.1274407796051,36.29272725176629
1559,Marion,South Carolina,5292250.89,477198.5,60794.35,59286.73,31678913.32,-79.36248431466724,34.080038414220795
1560,Freeborn,Minnesota,16552994.66,15104744.08,70816.99,82824.96,83967381.41,-93.34885570313219,43.67386337813322
1561,Fillmore,Minnesota,15347629.72,16572699.52,31743.54,56182.24,28473802.61,-92.09021939788406,43.67403487523186
1562,Marlboro,South Carolina,4166060.83,834681.14,132644.47,44698.08,38802962.93,-79.67861564080464,34.60197749281916
1563,Kosciusko,Indiana,11674297.45,7146790.04,278649.32,194796.14,58640089.61,-85.86070646064994,41.244090776706344
1564,Smith,Tennessee,2826231.29,2368037.98,32707.61,42381.56,4713689.93,-85.95671758972651,36.25054365309722
1565,Bradley,Tennessee,4010947.68,2064949.19,333401.53,197786.94,14123754.92,-84.8595945287469,35.154062833705936
1566,Mecosta,Michigan,9631882.52,3340959.51,97160.53,93332.88,43959927.73,-85.32452651061088,43.6408401324593
1567,Mason,Michigan,8708792.26,3055162.94,102489.82,70438.11,21087783.05,-86.2499935745517,43.995292686278916
1568,Manistee,Michigan,9492397.63,4338877.55,80152.0,66282.4,21732547.03,-86.0566675022966,44.33304437455745
1569,Jefferson,Illinois,11772413.0,8505762.52,63282.51,99016.54,68252489.84,-88.92401825370273,38.30050696981239
1570,Jersey,Illinois,5545816.87,4610962.02,28069.34,68580.53,34020528.97,-90.3565994213689,39.085657085397365
1571,Jo Daviess,Illinois,10510175.23,8308037.09,164797.6,69219.11,28284602.0,-90.21241985227857,42.36571300242568
1572,Johnson,Illinois,4897684.92,2314114.25,49301.79,28435.55,13579144.26,-88.88091650509926,37.459636179927365
1573,Kane,Illinois,14735989.81,3817086.31,1605761.59,1045418.87,41723039.17,-88.42866541948912,41.938921511477844
1574,Grant,Louisiana,4778231.09,1008171.8,54503.83,39609.63,29225935.18,-92.55991419130748,31.599225722923894
1575,Franklin,Louisiana,8091212.54,4050313.0,220328.45,49069.37,72813128.39,-91.67374878808553,32.13323462802439
1576,Dunklin,Missouri,8705390.36,7877051.26,165817.34,92431.57,70567602.08,-90.09094407098287,36.27203170910633
1577,Douglas,Missouri,9952833.48,8217482.02,26062.83,35876.14,10176978.51,-92.49879504850207,36.93259662422829
1578,Dent,Missouri,9898085.84,9735521.05,15730.07,34578.15,32668061.48,-91.50789118783062,37.60663192345422
1579,Rockland,New York,1514399.48,99883.64,443759.33,378112.28,49968.73,-74.03581357802663,41.1532953306133
1580,Wilcox,Alabama,4375922.94,4000077.18,39710.0,16364.38,64553551.68,-87.30823756886879,31.989243340188864
1581,Winston,Alabama,5586813.84,4484971.07,121760.03,48011.92,9094891.82,-87.3736873814288,34.14923603547211
1582,Franklin,Ohio,10323637.2,825607.52,354941.5,2048521.61,20467312.0,-83.00930291323807,39.96953666104947
1583,Fayette,Ohio,6715305.86,7274306.49,92415.89,62860.37,50766879.18,-83.45611157474997,39.559917639741805
1584,Fairfield,Ohio,9459099.36,5833676.49,447205.37,324605.7,39289429.09,-82.63051551423598,39.751568186878316
1585,Erie,Ohio,6144733.82,2763843.88,184040.29,173316.4,24582698.41,-82.6194408794991,41.36370971038585
1586,Delaware,Ohio,6907829.55,4195320.73,64499.51,448971.59,41716562.44,-83.00476093652973,40.27836931943952
1587,Hickory,Missouri,6466072.98,5666562.85,10575.89,22901.56,26642358.22,-93.32070909539982,37.94078812073695
1588,Howard,Missouri,7071212.2,6530625.4,60987.26,23241.43,41436641.28,-92.69583816630443,39.14275389549563
1589,Washington,Iowa,11129945.03,10210109.06,90808.46,59305.33,61196694.17,-91.71786572375544,41.335557879937
1590,Howard,Iowa,8857837.18,10386278.62,31701.2,34151.43,57657489.66,-92.31715876818583,43.35676988467682
1591,McNairy,Tennessee,8207465.52,4337028.49,41458.37,61608.59,41988441.43,-88.56371429765902,35.17458219200572
1592,Fayette,Iowa,14173805.79,13656775.76,78139.7,59136.97,73672610.1,-91.84432041554453,42.862576368108925
1593,Lincoln,Tennessee,7028490.82,5891936.25,87397.26,82391.02,31416919.23,-86.5889341145361,35.140515066264655
1594,Lewis,Tennessee,3222268.52,2246802.84,24877.33,27496.06,8063221.78,-87.49309853148124,35.527312893949784
1595,McMinn,Tennessee,5265070.15,3548665.21,172307.28,103058.37,14235790.33,-84.61749984145757,35.42474366754228
1596,Loudon,Tennessee,3138714.33,1812227.71,263521.94,113964.34,5142736.3,-84.3118588318636,35.734771679437806
1597,Norfolk,Virginia,1854653.1,0.0,528237.98,224689.79,0.0,-76.25672359614553,36.89333169071543
