Name,URL,State,Category,IncentiveType,Created
Empire Electric Association - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/3585/empire-electric-association-residential-energy-efficiency-rebate-program,CO,Financial Incentive,Rebate Program,8/7/2009
Residential Energy Upgrade (RENU) Loan Program,https://programs.dsireusa.org/system/program/detail/22061/residential-energy-upgrade-renu-loan-program,CO,Financial Incentive,Loan Program,8/3/2018
Efficiency Works - Business Energy Efficiency Rebate Program (Offered by 4 Utilities),https://programs.dsireusa.org/system/program/detail/5796/efficiency-works-business-energy-efficiency-rebate-program-offered-by-4-utilities,CO,Financial Incentive,Rebate Program,7/6/2015
Efficiency Works - Residential Energy Efficiency Rebate Program (Offered by 4 Utilities),https://programs.dsireusa.org/system/program/detail/5798/efficiency-works-residential-energy-efficiency-rebate-program-offered-by-4-utilities,CO,Financial Incentive,Rebate Program,7/8/2015
United Power - Residential Energy Efficient Appliance Rebate Program,https://programs.dsireusa.org/system/program/detail/2106/united-power-residential-energy-efficient-appliance-rebate-program,CO,Financial Incentive,Rebate Program,8/31/2006
United Power - Commercial and Industrial Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/4710/united-power-commercial-and-industrial-energy-efficiency-rebate-program,CO,Financial Incentive,Rebate Program,8/31/2006
Holy Cross Energy - Commercial Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/5174/holy-cross-energy-commercial-energy-efficiency-rebate-program,CO,Financial Incentive,Rebate Program,5/9/2012
Colorado Springs Utilities - Builder Incentive Program,https://programs.dsireusa.org/system/program/detail/4220/colorado-springs-utilities-builder-incentive-program,CO,Financial Incentive,Rebate Program,6/24/2010
Fort Collins Utilities - Home Efficiency Loan Program,https://programs.dsireusa.org/system/program/detail/1302/fort-collins-utilities-home-efficiency-loan-program,CO,Financial Incentive,Loan Program,3/13/2006
Colorado Springs Utilities - Commercial Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/1748/colorado-springs-utilities-commercial-energy-efficiency-rebate-program,CO,Financial Incentive,Rebate Program,7/10/2006
Colorado Springs Utilities - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/1753/colorado-springs-utilities-residential-energy-efficiency-rebate-program,CO,Financial Incentive,Rebate Program,7/10/2006
Xcel Energy - Residential Energy Efficiency Rebate Programs,https://programs.dsireusa.org/system/program/detail/1581/xcel-energy-residential-energy-efficiency-rebate-programs,CO,Financial Incentive,Rebate Program,6/5/2006
"Mountain View Electric Association, Inc - Energy Efficiency Rebates Program",https://programs.dsireusa.org/system/program/detail/2103/mountain-view-electric-association-inc-energy-efficiency-rebates-program,CO,Financial Incentive,Rebate Program,8/31/2006
Colorado Natural Gas - Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/3308/colorado-natural-gas-energy-efficiency-rebate-program,CO,Financial Incentive,Rebate Program,3/23/2009
Poudre Valley REA - Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/4815/poudre-valley-rea-energy-efficiency-rebate-program,CO,Financial Incentive,Rebate Program,8/31/2006
Xcel Energy - Solar Rewards Program,https://programs.dsireusa.org/system/program/detail/5295/xcel-energy-solar-rewards-program,CO,Financial Incentive,Performance-Based Incentive,8/15/2012
Renewable Energy Standard,https://programs.dsireusa.org/system/program/detail/133/renewable-energy-standard,CO,Regulatory Policy,Renewables Portfolio Standard,11/4/2004
City of Aspen and Pitkin County - Renewable Energy Mitigation Program Grants,https://programs.dsireusa.org/system/program/detail/5558/city-of-aspen-and-pitkin-county-renewable-energy-mitigation-program-grants,CO,Financial Incentive,Grant Program,10/2/2014
Colorado Residential Energy Upgrade (RENU) Loan program,https://programs.dsireusa.org/system/program/detail/5349/colorado-residential-energy-upgrade-renu-loan-program,CO,Financial Incentive,Loan Program,12/12/2012
Boulder County - Elevations Energy Loans,https://programs.dsireusa.org/system/program/detail/5306/boulder-county-elevations-energy-loans,CO,Financial Incentive,Loan Program,9/26/2012
City of Boulder - Solar Access Ordinance,https://programs.dsireusa.org/system/program/detail/438/city-of-boulder-solar-access-ordinance,CO,Regulatory Policy,Solar/Wind Access Policy,2/2/2001
City of Boulder - Solar Grant Program,https://programs.dsireusa.org/system/program/detail/2948/city-of-boulder-solar-grant-program,CO,Financial Incentive,Grant Program,5/28/2008
City of Boulder - Green Points Building Program,https://programs.dsireusa.org/system/program/detail/380/city-of-boulder-green-points-building-program,CO,Regulatory Policy,Building Energy Code,2/2/2001
Boulder County - Partners for a Clean Environment (PACE) rebates,https://programs.dsireusa.org/system/program/detail/22471/boulder-county-partners-for-a-clean-environment-pace-rebates,CO,Financial Incentive,Rebate Program,7/20/2022
Green Colorado Credit Reserve,https://programs.dsireusa.org/system/program/detail/5583/green-colorado-credit-reserve,CO,Financial Incentive,Loan Program,11/5/2014
C-PACE: Colorado Commercial Property Assessed Clean Energy,https://programs.dsireusa.org/system/program/detail/5878/c-pace-colorado-commercial-property-assessed-clean-energy,CO,Financial Incentive,PACE Financing,5/24/2016
Atmos Energy (Gas) - Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/3306/atmos-energy-gas-energy-efficiency-rebate-program,CO,Financial Incentive,Rebate Program,3/23/2009
Southeast Colorado Power Association - Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/4148/southeast-colorado-power-association-energy-efficiency-rebate-program,CO,Financial Incentive,Rebate Program,5/13/2010
Sangre De Cristo Electric Association - Energy Efficiency Credit Program,https://programs.dsireusa.org/system/program/detail/2399/sangre-de-cristo-electric-association-energy-efficiency-credit-program,CO,Financial Incentive,Rebate Program,3/4/2007
San Isabel Electric Association - Commercial Lighting Rebate Program,https://programs.dsireusa.org/system/program/detail/22083/san-isabel-electric-association-commercial-lighting-rebate-program,CO,Financial Incentive,Rebate Program,5/21/2019
San Miguel Power Association - Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/4312/san-miguel-power-association-energy-efficiency-rebate-program,CO,Financial Incentive,Rebate Program,8/24/2010
La Plata Electric Association - Commercial Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/22084/la-plata-electric-association-commercial-energy-efficiency-rebate-program,CO,Financial Incentive,Rebate Program,5/22/2019
Xcel Energy - Commercial Energy Efficiency Rebate Programs,https://programs.dsireusa.org/system/program/detail/1580/xcel-energy-commercial-energy-efficiency-rebate-programs,CO,Financial Incentive,Rebate Program,6/5/2006
San Isabel Electric Association - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/5128/san-isabel-electric-association-residential-energy-efficiency-rebate-program,CO,Financial Incentive,Rebate Program,3/14/2012
Xcel Energy - Residential Energy Efficiency Financing,https://programs.dsireusa.org/system/program/detail/5627/xcel-energy-residential-energy-efficiency-financing,CO,Financial Incentive,Loan Program,12/3/2014
Xcel Energy - Commercial Energy Efficiency Financing,https://programs.dsireusa.org/system/program/detail/5628/xcel-energy-commercial-energy-efficiency-financing,CO,Financial Incentive,Loan Program,12/3/2014
Gunnison County Electric - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/3372/gunnison-county-electric-residential-energy-efficiency-rebate-program,CO,Financial Incentive,Rebate Program,5/8/2009
Gunnison County - Energy Smart Colorado Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/5565/gunnison-county-energy-smart-colorado-energy-efficiency-rebate-program,CO,Financial Incentive,Rebate Program,10/10/2014
La Plata Electric Association - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/3571/la-plata-electric-association-residential-energy-efficiency-rebate-program,CO,Financial Incentive,Rebate Program,8/5/2009
Black Hills Energy (Gas) - Residential Energy Efficiency Program,https://programs.dsireusa.org/system/program/detail/3672/black-hills-energy-gas-residential-energy-efficiency-program,CO,Financial Incentive,Rebate Program,9/16/2009
Black Hills Energy (Electric) - Commercial Energy Efficiency Program,https://programs.dsireusa.org/system/program/detail/4279/black-hills-energy-electric-commercial-energy-efficiency-program,CO,Financial Incentive,Rebate Program,8/4/2010
Black Hills Energy (Gas) - Commercial Energy Efficiency Program,https://programs.dsireusa.org/system/program/detail/3675/black-hills-energy-gas-commercial-energy-efficiency-program,CO,Financial Incentive,Rebate Program,9/16/2009
Black Hills Energy (Electric) - Residential Energy Efficiency Program,https://programs.dsireusa.org/system/program/detail/4281/black-hills-energy-electric-residential-energy-efficiency-program,CO,Financial Incentive,Rebate Program,8/5/2010
San Miguel Power Association - Renewable Energy Rebate Program,https://programs.dsireusa.org/system/program/detail/4292/san-miguel-power-association-renewable-energy-rebate-program,CO,Financial Incentive,Rebate Program,8/16/2010
Holy Cross Energy - Renewable Energy Rebate Program,https://programs.dsireusa.org/system/program/detail/389/holy-cross-energy-renewable-energy-rebate-program,CO,Financial Incentive,Rebate Program,5/17/2005
Colorado Springs Utilities - Renewable Energy Rebate Program,https://programs.dsireusa.org/system/program/detail/1276/colorado-springs-utilities-renewable-energy-rebate-program,CO,Financial Incentive,Rebate Program,1/16/2006
Roaring Fork Valley - Energy Smart Colorado Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/4850/roaring-fork-valley-energy-smart-colorado-energy-efficiency-rebate-program,CO,Financial Incentive,Rebate Program,6/1/2011
Eagle County - Energy Smart Colorado Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/5452/eagle-county-energy-smart-colorado-energy-efficiency-rebate-program,CO,Financial Incentive,Rebate Program,3/27/2014
Lake County - Energy Smart Colorado Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/5564/lake-county-energy-smart-colorado-energy-efficiency-rebate-program,CO,Financial Incentive,Rebate Program,10/9/2014
San Isabel Electric Association - Electric Vehicle Incentives,https://programs.dsireusa.org/system/program/detail/22301/san-isabel-electric-association-electric-vehicle-incentives,CO,Financial Incentive,Rebate Program,7/16/2021
Gunnison County - Electric Vehicle Charger Rebate,https://programs.dsireusa.org/system/program/detail/22299/gunnison-county-electric-vehicle-charger-rebate,CO,Financial Incentive,Rebate Program,7/16/2021
Black Hills Energy - Ready EV Electric Vehicle Charging Rebate,https://programs.dsireusa.org/system/program/detail/22298/black-hills-energy-ready-ev-electric-vehicle-charging-rebate,CO,Financial Incentive,Rebate Program,7/16/2021
Electric Vehicle Income Tax Credit,https://programs.dsireusa.org/system/program/detail/22156/electric-vehicle-income-tax-credit,CO,Financial Incentive,Personal Tax Credit,5/21/2021
ALT Fuels Colorado,https://programs.dsireusa.org/system/program/detail/22158/alt-fuels-colorado,CO,Financial Incentive,Grant Program,5/21/2021
Energy Impact Assistance Fund Grant Program,https://programs.dsireusa.org/system/program/detail/22159/energy-impact-assistance-fund-grant-program,CO,Financial Incentive,Grant Program,5/21/2021
Electric Vehicle Fast-Charging Plazas Program,https://programs.dsireusa.org/system/program/detail/22160/electric-vehicle-fast-charging-plazas-program,CO,Financial Incentive,Grant Program,5/21/2021
Property Tax Exemption for Residential Renewable Energy Equipment,https://programs.dsireusa.org/system/program/detail/4210/property-tax-exemption-for-residential-renewable-energy-equipment,CO,Financial Incentive,Property Tax Incentive,6/16/2010
Charge Ahead Colorado,https://programs.dsireusa.org/system/program/detail/22157/charge-ahead-colorado,CO,Financial Incentive,Grant Program,5/21/2021
Sales and Use Tax Exemption for Renewable Energy Equipment,https://programs.dsireusa.org/system/program/detail/3397/sales-and-use-tax-exemption-for-renewable-energy-equipment,CO,Financial Incentive,Sales Tax Incentive,5/27/2009
City of Boulder - Solar Sales and Use Tax Rebate,https://programs.dsireusa.org/system/program/detail/4082/city-of-boulder-solar-sales-and-use-tax-rebate,CO,Financial Incentive,Sales Tax Incentive,4/8/2010
Denver City - Municipal Renewable Energy Goal,https://programs.dsireusa.org/system/program/detail/5934/denver-city-municipal-renewable-energy-goal,CO,Regulatory Policy,Green Power Purchasing,10/28/2016
Mandatory Green Power Option for Large Municipal Utilities,https://programs.dsireusa.org/system/program/detail/2480/mandatory-green-power-option-for-large-municipal-utilities,CO,Regulatory Policy,Mandatory Utility Green Power Option,4/10/2007
Holy Cross Energy - EV Charger Incentives,https://programs.dsireusa.org/system/program/detail/22300/holy-cross-energy-ev-charger-incentives,CO,Financial Incentive,Rebate Program,7/16/2021
Colorado Solar/Wind Easements and Rights Law,https://programs.dsireusa.org/system/program/detail/259/colorado-solar-wind-easements-and-rights-law,CO,Regulatory Policy,Solar/Wind Access Policy,1/1/2000
City of Boulder - Climate Action Plan Fund,https://programs.dsireusa.org/system/program/detail/2351/city-of-boulder-climate-action-plan-fund,CO,Regulatory Policy,Public Benefits Fund,11/15/2006
Clean Energy Fund,https://programs.dsireusa.org/system/program/detail/2864/clean-energy-fund,CO,Regulatory Policy,Public Benefits Fund,2/6/2008
Colorado Appliance and Equipment Energy Efficiency Standards,https://programs.dsireusa.org/system/program/detail/22285/colorado-appliance-and-equipment-energy-efficiency-standards,CO,Regulatory Policy,Appliance/Equipment Efficiency Standards,7/8/2021
Fort Collins Utilities - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/1300/fort-collins-utilities-residential-energy-efficiency-rebate-program,CO,Financial Incentive,Rebate Program,3/13/2006
Boulder County - EnergySmart Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/4630/boulder-county-energysmart-residential-energy-efficiency-rebate-program,CO,Financial Incentive,Rebate Program,2/14/2011
Black Hills Energy - Solar Power Program,https://programs.dsireusa.org/system/program/detail/1801/black-hills-energy-solar-power-program,CO,Financial Incentive,Performance-Based Incentive,7/17/2006
Holy Cross Energy - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/2045/holy-cross-energy-residential-energy-efficiency-rebate-program,CO,Financial Incentive,Rebate Program,8/25/2006
Roaring Fork Valley - Energy Smart Colorado Renewable Energy Rebate Program,https://programs.dsireusa.org/system/program/detail/846/roaring-fork-valley-energy-smart-colorado-renewable-energy-rebate-program,CO,Financial Incentive,Rebate Program,9/25/2002
La Plata Electric Association - Renewable Generation Rebate Program,https://programs.dsireusa.org/system/program/detail/2607/la-plata-electric-association-renewable-generation-rebate-program,CO,Financial Incentive,Rebate Program,6/14/2007
City of Aspen - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/4714/city-of-aspen-residential-energy-efficiency-rebate-program,CO,Financial Incentive,Rebate Program,3/28/2011
Xcel Energy - Solar*Rewards Program,https://programs.dsireusa.org/system/program/detail/1255/xcel-energy-solar-rewards-program,CO,Financial Incentive,Performance-Based Incentive,12/6/2005
Mandatory Photovoltaic System Cost Estimate,https://programs.dsireusa.org/system/program/detail/260/mandatory-photovoltaic-system-cost-estimate,CO,Regulatory Policy,Line Extension Analysis,1/1/2000
Fuel Mix Disclosure,https://programs.dsireusa.org/system/program/detail/650/fuel-mix-disclosure,CO,Regulatory Policy,Generation Disclosure,11/30/2001
Summit County - Energy Smart Colorado Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/5562/summit-county-energy-smart-colorado-energy-efficiency-rebate-program,CO,Financial Incentive,Rebate Program,10/9/2014
City and County of Denver - Elevations Energy Loans,https://programs.dsireusa.org/system/program/detail/5307/city-and-county-of-denver-elevations-energy-loans,CO,Financial Incentive,Loan Program,9/26/2012
Renewable Energy Property Tax Assessment,https://programs.dsireusa.org/system/program/detail/2388/renewable-energy-property-tax-assessment,CO,Financial Incentive,Property Tax Incentive,2/16/2007
Building Energy Code,https://programs.dsireusa.org/system/program/detail/1881/building-energy-code,CO,Regulatory Policy,Building Energy Code,7/28/2006
City of Aspen and Pitkin County - Renewable Energy Mitigation Program,https://programs.dsireusa.org/system/program/detail/423/city-of-aspen-and-pitkin-county-renewable-energy-mitigation-program,CO,Regulatory Policy,Building Energy Code,1/1/2000
Fort Collins - Green Building Requirement for City-Owned Buildings,https://programs.dsireusa.org/system/program/detail/2811/fort-collins-green-building-requirement-for-city-owned-buildings,CO,Regulatory Policy,Energy Standards for Public Buildings,11/27/2007
City of Denver - Green Building Requirement for City-Owned Buildings,https://programs.dsireusa.org/system/program/detail/2912/city-of-denver-green-building-requirement-for-city-owned-buildings,CO,Regulatory Policy,Energy Standards for Public Buildings,4/11/2008
Energy Efficiency Resource Standard,https://programs.dsireusa.org/system/program/detail/4489/energy-efficiency-resource-standard,CO,Regulatory Policy,Energy Efficiency Resource Standard,12/10/2010
City and County of Denver - Solar Panel Permitting,https://programs.dsireusa.org/system/program/detail/5348/city-and-county-of-denver-solar-panel-permitting,CO,Regulatory Policy,Solar/Wind Permitting Standards,12/7/2012
Interconnection Standards,https://programs.dsireusa.org/system/program/detail/1266/interconnection-standards,CO,Regulatory Policy,Interconnection,12/20/2005
Greening of State Government,https://programs.dsireusa.org/system/program/detail/1703/greening-of-state-government,CO,Regulatory Policy,Energy Standards for Public Buildings,6/30/2006
Diesel Emissions Mitigation Program,https://programs.dsireusa.org/system/program/detail/22408/diesel-emissions-mitigation-program,CT,Financial Incentive,Grant Program,8/24/2021
Residential Renewable Energy Solutions,https://programs.dsireusa.org/system/program/detail/277/residential-renewable-energy-solutions,CT,Regulatory Policy,Net Metering,1/1/2000
Non-Residential Renewable Energy Solutions,https://programs.dsireusa.org/system/program/detail/22451/non-residential-renewable-energy-solutions,CT,Regulatory Policy,Net Metering,6/16/2022
Norwich Public Utilities (Electric) - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/3112/norwich-public-utilities-electric-residential-energy-efficiency-rebate-program,CT,Financial Incentive,Rebate Program,11/4/2008
Shared Clean Energy Facility (SCEF) Program,https://programs.dsireusa.org/system/program/detail/22457/shared-clean-energy-facility-scef-program,CT,Regulatory Policy,Community Solar Rules,6/21/2022
Groton Utilities - Commercial & Industrial Energy Efficiency Rebate Programs,https://programs.dsireusa.org/system/program/detail/1773/groton-utilities-commercial-industrial-energy-efficiency-rebate-programs,CT,Financial Incentive,Rebate Program,7/11/2006
Small Business Energy Advantage Loan Program,https://programs.dsireusa.org/system/program/detail/4712/small-business-energy-advantage-loan-program,CT,Financial Incentive,Loan Program,4/11/2006
Norwich Public Utilities - Zero Percent Financing Program,https://programs.dsireusa.org/system/program/detail/3115/norwich-public-utilities-zero-percent-financing-program,CT,Financial Incentive,Loan Program,11/4/2008
Small Business & Municipal Loan Program,https://programs.dsireusa.org/system/program/detail/5735/small-business-municipal-loan-program,CT,Financial Incentive,Loan Program,4/9/2015
Energize Connecticut Residential and Commercial Rebates,https://programs.dsireusa.org/system/program/detail/5737/energize-connecticut-residential-and-commercial-rebates,CT,Financial Incentive,Rebate Program,4/15/2015
Renewables Portfolio Standard,https://programs.dsireusa.org/system/program/detail/195/renewables-portfolio-standard,CT,Regulatory Policy,Renewables Portfolio Standard,1/1/2000
Norwich Public Utilities - Commercial Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/3111/norwich-public-utilities-commercial-energy-efficiency-rebate-program,CT,Financial Incentive,Rebate Program,11/4/2008
Groton Utilities - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/1772/groton-utilities-residential-energy-efficiency-rebate-program,CT,Financial Incentive,Rebate Program,7/11/2006
(Electric and Gas) Residential New Construction Program,https://programs.dsireusa.org/system/program/detail/4342/electric-and-gas-residential-new-construction-program,CT,Financial Incentive,Rebate Program,9/15/2010
(Electric and Gas) Residential Rebate Program,https://programs.dsireusa.org/system/program/detail/5738/electric-and-gas-residential-rebate-program,CT,Financial Incentive,Rebate Program,4/17/2015
Energy Efficiency Fund (Electric and Gas) - Residential Energy Efficiency Financing,https://programs.dsireusa.org/system/program/detail/4517/energy-efficiency-fund-electric-and-gas-residential-energy-efficiency-financing,CT,Financial Incentive,Loan Program,12/28/2010
Local Option - Property Tax Exemption for Renewable Energy Systems,https://programs.dsireusa.org/system/program/detail/5423/local-option-property-tax-exemption-for-renewable-energy-systems,CT,Financial Incentive,Property Tax Incentive,1/1/2000
Property Tax Exemption for Renewable Energy Systems,https://programs.dsireusa.org/system/program/detail/240/property-tax-exemption-for-renewable-energy-systems,CT,Financial Incentive,Property Tax Incentive,1/1/2000
Norwich Public Utilities - Electric Vehicle Rebates,https://programs.dsireusa.org/system/program/detail/22303/norwich-public-utilities-electric-vehicle-rebates,CT,Financial Incentive,Rebate Program,7/16/2021
Groton Utilities - Electric Vehicle Rebate Program,https://programs.dsireusa.org/system/program/detail/22302/groton-utilities-electric-vehicle-rebate-program,CT,Financial Incentive,Rebate Program,7/16/2021
Connecticut Hydrogen and Electric Automobile Purchase Rebate (CHEAPR),https://programs.dsireusa.org/system/program/detail/22163/connecticut-hydrogen-and-electric-automobile-purchase-rebate-cheapr,CT,Financial Incentive,Rebate Program,5/27/2021
Sales and Use Tax Exemption for Solar and Geothermal Systems,https://programs.dsireusa.org/system/program/detail/2613/sales-and-use-tax-exemption-for-solar-and-geothermal-systems,CT,Financial Incentive,Sales Tax Incentive,6/21/2007
Residential Solar Investment Program,https://programs.dsireusa.org/system/program/detail/5120/residential-solar-investment-program,CT,Financial Incentive,Rebate Program,3/5/2012
Connecticut Green Power Purchase Plan,https://programs.dsireusa.org/system/program/detail/1078/connecticut-green-power-purchase-plan,CT,Regulatory Policy,Green Power Purchasing,4/23/2004
VW Settlement Electric Vehicle Supply Equipment Grants,https://programs.dsireusa.org/system/program/detail/22162/vw-settlement-electric-vehicle-supply-equipment-grants,CT,Financial Incentive,Grant Program,5/27/2021
Electric Vehicle Fee Reduction,https://programs.dsireusa.org/system/program/detail/22171/electric-vehicle-fee-reduction,CT,Financial Incentive,Other Incentive,6/3/2021
Connecticut Clean Energy Fund,https://programs.dsireusa.org/system/program/detail/157/connecticut-clean-energy-fund,CT,Regulatory Policy,Public Benefits Fund,1/1/2000
Energy Efficiency Fund,https://programs.dsireusa.org/system/program/detail/2313/energy-efficiency-fund,CT,Regulatory Policy,Public Benefits Fund,9/27/2006
Sales and Use Taxes for Items Used in Renewable Energy Industries,https://programs.dsireusa.org/system/program/detail/4552/sales-and-use-taxes-for-items-used-in-renewable-energy-industries,CT,Financial Incentive,Industry Recruitment/Support,1/10/2011
Connecticut Green Energy Building Solutions,https://programs.dsireusa.org/system/program/detail/22293/connecticut-green-energy-building-solutions,CT,Financial Incentive,Green Building Incentive,7/13/2021
Connecticut Appliance and Equipment Energy Efficiency Standards,https://programs.dsireusa.org/system/program/detail/1563/connecticut-appliance-and-equipment-energy-efficiency-standards,CT,Regulatory Policy,Appliance/Equipment Efficiency Standards,6/1/2006
Smart-E loans,https://programs.dsireusa.org/system/program/detail/1407/smart-e-loans,CT,Financial Incentive,Loan Program,4/21/2006
Fuel Mix and Emissions Disclosure,https://programs.dsireusa.org/system/program/detail/239/fuel-mix-and-emissions-disclosure,CT,Regulatory Policy,Generation Disclosure,1/1/2001
Low-Interest Loans for Customer-Side Distributed Resources,https://programs.dsireusa.org/system/program/detail/1693/low-interest-loans-for-customer-side-distributed-resources,CT,Financial Incentive,Loan Program,6/27/2006
Home Energy Solutions Loan Program,https://programs.dsireusa.org/system/program/detail/5739/home-energy-solutions-loan-program,CT,Financial Incentive,Loan Program,4/20/2015
Sales and Use Tax Exemption for Energy-Efficient Products,https://programs.dsireusa.org/system/program/detail/1247/sales-and-use-tax-exemption-for-energy-efficient-products,CT,Financial Incentive,Sales Tax Incentive,11/9/2005
Energy Conservation Loan,https://programs.dsireusa.org/system/program/detail/196/energy-conservation-loan,CT,Financial Incentive,Loan Program,1/1/2000
Solar and Wind Contractor Licensing,https://programs.dsireusa.org/system/program/detail/322/solar-and-wind-contractor-licensing,CT,Regulatory Policy,Solar/Wind Contractor Licensing,1/1/2000
Building Energy Code,https://programs.dsireusa.org/system/program/detail/2612/building-energy-code,CT,Regulatory Policy,Building Energy Code,6/20/2007
Norwich Public Utilities (Gas) - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/4572/norwich-public-utilities-gas-residential-energy-efficiency-rebate-program,CT,Financial Incentive,Rebate Program,11/4/2008
The United Illuminating Company - ZREC and LREC Long Term Contracts,https://programs.dsireusa.org/system/program/detail/5693/the-united-illuminating-company-zrec-and-lrec-long-term-contracts,CT,Financial Incentive,Solar Renewable Energy Credit Program,2/23/2015
Multifamily Energy Conservation Loan Program,https://programs.dsireusa.org/system/program/detail/5730/multifamily-energy-conservation-loan-program,CT,Financial Incentive,Loan Program,4/8/2015
Low-Income Multifamily Energy Loan Program,https://programs.dsireusa.org/system/program/detail/22045/low-income-multifamily-energy-loan-program,CT,Financial Incentive,Loan Program,9/1/2017
Multifamily Navigator Pre-Development Energy Loan Program,https://programs.dsireusa.org/system/program/detail/22044/multifamily-navigator-pre-development-energy-loan-program,CT,Financial Incentive,Loan Program,9/1/2017
Multifamily Sherpa Pre-Development Energy Loan Program,https://programs.dsireusa.org/system/program/detail/22043/multifamily-sherpa-pre-development-energy-loan-program,CT,Financial Incentive,Loan Program,9/1/2017
Local Option - Commercial PACE Financing,https://programs.dsireusa.org/system/program/detail/5321/local-option-commercial-pace-financing,CT,Financial Incentive,PACE Financing,10/12/2012
Local Option - Residential Sustainable Energy Program,https://programs.dsireusa.org/system/program/detail/4951/local-option-residential-sustainable-energy-program,CT,Financial Incentive,PACE Financing,8/7/2011
Local Option - Building Permit Fee Waivers for Renewable Energy Projects,https://programs.dsireusa.org/system/program/detail/4958/local-option-building-permit-fee-waivers-for-renewable-energy-projects,CT,Regulatory Policy,Solar/Wind Permitting Standards,8/9/2011
Energy Efficiency Requirements for State Government,https://programs.dsireusa.org/system/program/detail/2390/energy-efficiency-requirements-for-state-government,CT,Regulatory Policy,Energy Standards for Public Buildings,2/19/2007
Interconnection Standards,https://programs.dsireusa.org/system/program/detail/1059/interconnection-standards,CT,Regulatory Policy,Interconnection,2/12/2004
Renewable Portfolio Standards - Energy Efficiency Component,https://programs.dsireusa.org/system/program/detail/4506/renewable-portfolio-standards-energy-efficiency-component,CT,Regulatory Policy,Energy Efficiency Resource Standard,12/16/2010
Net Metering,https://programs.dsireusa.org/system/program/detail/105/net-metering,DC,Regulatory Policy,Net Metering,1/1/2000
Sustainable Energy Utility (Electric & Gas) - Commercial and Multifamily Rebate Program,https://programs.dsireusa.org/system/program/detail/5167/sustainable-energy-utility-electric-gas-commercial-and-multifamily-rebate-program,DC,Financial Incentive,Rebate Program,5/2/2012
Sustainable Energy Utility - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/5399/sustainable-energy-utility-residential-energy-efficiency-rebate-program,DC,Financial Incentive,Rebate Program,3/20/2013
Community Renewable Energy Amendment Act,https://programs.dsireusa.org/system/program/detail/22455/community-renewable-energy-amendment-act,DC,Regulatory Policy,Community Solar Rules,6/21/2022
Solar Renewable Energy Credits,https://programs.dsireusa.org/system/program/detail/5686/solar-renewable-energy-credits,DC,Financial Incentive,Solar Renewable Energy Credit Program,2/20/2015
Solar Energy System and Cogeneration System Personal Property Tax Credit,https://programs.dsireusa.org/system/program/detail/5245/solar-energy-system-and-cogeneration-system-personal-property-tax-credit,DC,Financial Incentive,Property Tax Incentive,8/2/2012
Renewable Portfolio Standard,https://programs.dsireusa.org/system/program/detail/303/renewable-portfolio-standard,DC,Regulatory Policy,Renewables Portfolio Standard,1/19/2005
Electric Vehicles Tax Credit (Corporate),https://programs.dsireusa.org/system/program/detail/22172/electric-vehicles-tax-credit-corporate,DC,Financial Incentive,Corporate Tax Credit,6/3/2021
Electric Vehicles Tax Credit (Personal),https://programs.dsireusa.org/system/program/detail/22173/electric-vehicles-tax-credit-personal,DC,Financial Incentive,Personal Tax Credit,6/3/2021
District of Columbia Property Assessed Clean Energy Financing,https://programs.dsireusa.org/system/program/detail/4206/district-of-columbia-property-assessed-clean-energy-financing,DC,Financial Incentive,PACE Financing,6/9/2010
