Name,URL,State,Category,IncentiveType,Created
Alameda Municipal Power - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/3357/alameda-municipal-power-residential-energy-efficiency-rebate-program,CA,Financial Incentive,Rebate Program,4/23/2009
Alameda Municipal Power - Commercial New Construction Rebate Program,https://programs.dsireusa.org/system/program/detail/1611/alameda-municipal-power-commercial-new-construction-rebate-program,CA,Financial Incentive,Rebate Program,6/19/2006
Alameda Municipal Power - Commercial Rebate Program,https://programs.dsireusa.org/system/program/detail/1613/alameda-municipal-power-commercial-rebate-program,CA,Financial Incentive,Rebate Program,6/19/2006
Riverside Public Utilities - Commercial Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/1897/riverside-public-utilities-commercial-energy-efficiency-rebate-program,CA,Financial Incentive,Rebate Program,7/31/2006
Roseville Electric - Commercial Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/1903/roseville-electric-commercial-energy-efficiency-rebate-program,CA,Financial Incentive,Rebate Program,8/1/2006
Roseville Electric - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/1902/roseville-electric-residential-energy-efficiency-rebate-program,CA,Financial Incentive,Rebate Program,8/1/2006
SMUD - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/1916/smud-residential-energy-efficiency-rebate-program,CA,Financial Incentive,Rebate Program,8/2/2006
Renewables Portfolio Standard,https://programs.dsireusa.org/system/program/detail/840/renewables-portfolio-standard,CA,Regulatory Policy,Renewables Portfolio Standard,9/3/2002
Enhanced Community Renewables Program,https://programs.dsireusa.org/system/program/detail/22429/enhanced-community-renewables-program,CA,Regulatory Policy,Community Solar Rules,5/31/2022
City of Lompoc Utilities - Commercial Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/1665/city-of-lompoc-utilities-commercial-energy-efficiency-rebate-program,CA,Financial Incentive,Rebate Program,6/26/2006
City of Lompoc Utilities - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/1663/city-of-lompoc-utilities-residential-energy-efficiency-rebate-program,CA,Financial Incentive,Rebate Program,6/26/2006
Lassen Municipal Utility District - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/1718/lassen-municipal-utility-district-residential-energy-efficiency-rebate-program,CA,Financial Incentive,Rebate Program,7/7/2006
Modesto Irrigation District - Commercial New Construction Rebate Program,https://programs.dsireusa.org/system/program/detail/3219/modesto-irrigation-district-commercial-new-construction-rebate-program,CA,Financial Incentive,Rebate Program,1/21/2009
SMUD - Commercial Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/1917/smud-commercial-energy-efficiency-rebate-program,CA,Financial Incentive,Rebate Program,8/2/2006
California Solar Initiative - Single-Family Affordable Solar Housing (SASH) Program,https://programs.dsireusa.org/system/program/detail/3673/california-solar-initiative-single-family-affordable-solar-housing-sash-program,CA,Financial Incentive,Rebate Program,9/16/2009
Pacific Power - wattsmart Business,https://programs.dsireusa.org/system/program/detail/1429/pacific-power-wattsmart-business,CA,Financial Incentive,Rebate Program,4/26/2006
Pacific Power - Residential Energy Efficiency Rebate Programs,https://programs.dsireusa.org/system/program/detail/3325/pacific-power-residential-energy-efficiency-rebate-programs,CA,Financial Incentive,Rebate Program,4/1/2009
LADWP - Non-Residential Energy Efficiency Incentive Program,https://programs.dsireusa.org/system/program/detail/1866/ladwp-non-residential-energy-efficiency-incentive-program,CA,Financial Incentive,Rebate Program,7/27/2006
SCE - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/4377/sce-residential-energy-efficiency-rebate-program,CA,Financial Incentive,Rebate Program,5/3/2006
SCE - Multi-Family Residential Energy Efficiency Programs,https://programs.dsireusa.org/system/program/detail/1459/sce-multi-family-residential-energy-efficiency-programs,CA,Financial Incentive,Rebate Program,5/3/2006
SCE - Non-Residential Energy Efficiency Programs,https://programs.dsireusa.org/system/program/detail/1458/sce-non-residential-energy-efficiency-programs,CA,Financial Incentive,Rebate Program,5/3/2006
SoCalGas - Multi-Family Residential Rebate Program,https://programs.dsireusa.org/system/program/detail/2508/socalgas-multi-family-residential-rebate-program,CA,Financial Incentive,Rebate Program,5/2/2007
SoCalGas - Non-Residential On-Bill Financing Program,https://programs.dsireusa.org/system/program/detail/2513/socalgas-non-residential-on-bill-financing-program,CA,Financial Incentive,Loan Program,5/3/2007
SoCalGas - Non-Residential Energy Efficiency Rebate Programs,https://programs.dsireusa.org/system/program/detail/1463/socalgas-non-residential-energy-efficiency-rebate-programs,CA,Financial Incentive,Rebate Program,5/3/2006
SoCalGas - Residential Energy Efficiency Rebate Programs,https://programs.dsireusa.org/system/program/detail/1461/socalgas-residential-energy-efficiency-rebate-programs,CA,Financial Incentive,Rebate Program,5/3/2006
SCE - Non-Residential On-Bill Financing Program,https://programs.dsireusa.org/system/program/detail/4250/sce-non-residential-on-bill-financing-program,CA,Financial Incentive,Loan Program,7/13/2010
PG&E - Non-Residential Energy Efficiency Rebates,https://programs.dsireusa.org/system/program/detail/4899/pg-e-non-residential-energy-efficiency-rebates,CA,Financial Incentive,Rebate Program,4/24/2006
PG&E - Non-Residential Energy Efficiency Financing Program,https://programs.dsireusa.org/system/program/detail/5620/pg-e-non-residential-energy-efficiency-financing-program,CA,Financial Incentive,Loan Program,11/18/2014
Silicon Valley Power - Commercial Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/1924/silicon-valley-power-commercial-energy-efficiency-rebate-program,CA,Financial Incentive,Rebate Program,8/3/2006
Silicon Valley Power - Emerging Technologies Grant Program,https://programs.dsireusa.org/system/program/detail/22068/silicon-valley-power-emerging-technologies-grant-program,CA,Financial Incentive,Grant Program,2/27/2019
PG&E - Residential Energy Savings Rebate Programs,https://programs.dsireusa.org/system/program/detail/1428/pg-e-residential-energy-savings-rebate-programs,CA,Financial Incentive,Rebate Program,4/26/2006
Modesto Irrigation District - Commercial Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/1885/modesto-irrigation-district-commercial-energy-efficiency-rebate-program,CA,Financial Incentive,Rebate Program,7/28/2006
Modesto Irrigation District - Residential Electric Vehicle Charger Rebate Program,https://programs.dsireusa.org/system/program/detail/22428/modesto-irrigation-district-residential-electric-vehicle-charger-rebate-program,CA,Financial Incentive,Rebate Program,5/25/2022
Modesto Irrigation District - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/1882/modesto-irrigation-district-residential-energy-efficiency-rebate-program,CA,Financial Incentive,Rebate Program,7/28/2006
PG&E - Multifamily Residential Energy Savings Rebate Program,https://programs.dsireusa.org/system/program/detail/4257/pg-e-multifamily-residential-energy-savings-rebate-program,CA,Financial Incentive,Rebate Program,7/16/2010
Anaheim Public Utilities - Residential Home Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/1614/anaheim-public-utilities-residential-home-efficiency-rebate-program,CA,Financial Incentive,Rebate Program,6/19/2006
California Energy Design Assistance (CEDA),https://programs.dsireusa.org/system/program/detail/1455/california-energy-design-assistance-ceda,CA,Financial Incentive,Rebate Program,5/3/2006
Pasadena Water and Power - Commercial Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/3260/pasadena-water-and-power-commercial-energy-efficiency-rebate-program,CA,Financial Incentive,Rebate Program,2/11/2009
LADWP - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/1867/ladwp-residential-energy-efficiency-rebate-program,CA,Financial Incentive,Rebate Program,7/27/2006
Pasadena Water and Power - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/1889/pasadena-water-and-power-residential-energy-efficiency-rebate-program,CA,Financial Incentive,Rebate Program,7/28/2006
Riverside Public Utilities - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/1896/riverside-public-utilities-residential-energy-efficiency-rebate-program,CA,Financial Incentive,Rebate Program,7/31/2006
Anaheim Public Utilities - Commercial Energy Efficiency Rebate Programs,https://programs.dsireusa.org/system/program/detail/1615/anaheim-public-utilities-commercial-energy-efficiency-rebate-programs,CA,Financial Incentive,Rebate Program,6/19/2006
Anaheim Public Utilities - Small Business Energy & Water Direct Install Program,https://programs.dsireusa.org/system/program/detail/1625/anaheim-public-utilities-small-business-energy-water-direct-install-program,CA,Financial Incentive,Rebate Program,6/22/2006
Truckee Donner Public Utility District - Energy Conservation Rebate Program,https://programs.dsireusa.org/system/program/detail/1925/truckee-donner-public-utility-district-energy-conservation-rebate-program,CA,Financial Incentive,Rebate Program,8/3/2006
SoCalGas - Custom Non-Residential Energy Efficiency Program,https://programs.dsireusa.org/system/program/detail/4952/socalgas-custom-non-residential-energy-efficiency-program,CA,Financial Incentive,Rebate Program,5/3/2006
Anaheim Public Utilities - Commercial & Industrial New Construction Rebate Program,https://programs.dsireusa.org/system/program/detail/4809/anaheim-public-utilities-commercial-industrial-new-construction-rebate-program,CA,Financial Incentive,Rebate Program,6/23/2006
Turlock Irrigation District - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/1926/turlock-irrigation-district-residential-energy-efficiency-rebate-program,CA,Financial Incentive,Rebate Program,8/3/2006
Turlock Irrigation District - Commercial Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/22071/turlock-irrigation-district-commercial-energy-efficiency-rebate-program,CA,Financial Incentive,Rebate Program,3/21/2019
IID Energy - Commercial Rebate Program,https://programs.dsireusa.org/system/program/detail/3086/iid-energy-commercial-rebate-program,CA,Financial Incentive,Rebate Program,10/2/2008
Burbank Water & Power - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/1659/burbank-water-power-residential-energy-efficiency-rebate-program,CA,Financial Incentive,Rebate Program,6/26/2006
Burbank Water & Power - Business Bucks Energy Efficiency Grant Program,https://programs.dsireusa.org/system/program/detail/1631/burbank-water-power-business-bucks-energy-efficiency-grant-program,CA,Financial Incentive,Grant Program,6/22/2006
Burbank Water & Power - Energy Solutions Business Rebate Program,https://programs.dsireusa.org/system/program/detail/1630/burbank-water-power-energy-solutions-business-rebate-program,CA,Financial Incentive,Rebate Program,6/22/2006
Burbank Water and Power - LEED Certification Incentive Program,https://programs.dsireusa.org/system/program/detail/22066/burbank-water-and-power-leed-certification-incentive-program,CA,Financial Incentive,Rebate Program,2/20/2019
Lodi Electric Utility - Commercial Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/4583/lodi-electric-utility-commercial-energy-efficiency-rebate-program,CA,Financial Incentive,Rebate Program,7/19/2006
Lodi Electric Utility - Commercial and Industrial Energy Efficiency Loan Program,https://programs.dsireusa.org/system/program/detail/5854/lodi-electric-utility-commercial-and-industrial-energy-efficiency-loan-program,CA,Financial Incentive,Loan Program,1/14/2016
Lodi Electric Utility - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/1810/lodi-electric-utility-residential-energy-efficiency-rebate-program,CA,Financial Incentive,Rebate Program,7/19/2006
Plumas-Sierra REC - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/2289/plumas-sierra-rec-residential-energy-efficiency-rebate-program,CA,Financial Incentive,Rebate Program,9/25/2006
Plumas-Sierra REC - Commercial and Irrigation Rebate Program,https://programs.dsireusa.org/system/program/detail/22067/plumas-sierra-rec-commercial-and-irrigation-rebate-program,CA,Financial Incentive,Rebate Program,2/21/2019
City of Palo Alto Utilities - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/1686/city-of-palo-alto-utilities-residential-energy-efficiency-rebate-program,CA,Financial Incentive,Rebate Program,6/27/2006
